id,name,nameDisplay,description,abv,ibu,glasswareId,srmId,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,servingTemperature,servingTemperatureDisplay,createDate,updateDate,glass/id,glass/name,glass/createDate,srm/id,srm/name,srm/hex,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,originalGravity,foodPairings
OM0rIm,1 North Lager,1 North Lager,"A classic Vienna lager style beer. Similar to an Oktoberfest, but not quite as malty, the 1 N. Lager (named after our address) is a medium bodied lager that normally comes around in late summer and fall.

Grain: 2 Row, Munich 10, Vienna, Caramel 60
Hops: Saaz, Mt. Hood",,,5,,1,80,N,https://s3.amazonaws.com/brewerydbapi/beer/OM0rIm/upload_pgpZbA-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/OM0rIm/upload_pgpZbA-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/OM0rIm/upload_pgpZbA-large.png,verified,Verified,,,2012-01-03 02:42:36,2015-12-16 07:48:06,5,Pint,2012-01-03 02:41:33,,,,1,Year Round,Available year round as a staple beer.,80,7,7,European-germanic Lager,2012-03-21 20:06:46,Vienna-Style Lager,Vienna Lager,"Beers in this category are reddish brown or copper colored. They are medium in body. The beer is characterized by malty aroma and slight malt sweetness. The malt aroma and flavor should have a notable degree of toasted and/or slightly roasted malt character. Hop bitterness is clean and crisp. Noble-type hop aromas and flavors should be low or mild. Diacetyl, chill haze and ale-like fruity esters should not be perceived.",22,28,4.8,5.4,12,16,1.046,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:36:42,,
R6YHvd,1 Year Anniversary,1 Year Anniversary,"We put together an American style wheatwine, a sort of forgotten hybrid of a barleywine style ale. We utilized five different types of wheat for our biggest beer yet. We promptly aged it in local white wine barrels that'll round out the tart, full bodies, herbaceous hop profile, enhancing one year down, and forever to go! Cheers!",8.4,,,,2,35,N,https://s3.amazonaws.com/brewerydbapi/beer/R6YHvd/upload_vb0zwK-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/R6YHvd/upload_vb0zwK-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/R6YHvd/upload_vb0zwK-large.png,verified,Verified,,,2013-12-09 19:56:36,2015-12-17 08:58:53,,,,,,,2,Limited,Limited availability.,35,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Wheat Wine Ale,Wheatwine,"American style wheat wines range from gold to deep amber and are brewed with 50% or more wheat malt. They have full body and high residual malty sweetness. Perception of bitterness is moderate to medium -high. Fruity-ester characters are often high and counterbalanced by complexity of alcohols and high alcohol content. Hop aroma and flavor are at low to medium levels. Very low levels of diacetyl may be acceptable. Bready, wheat, honey-like and/or caramel aroma and flavor are often part of the character. Phenolic yeast character, sulfur, and/or sweet corn-like dimethylsulfide (DMS) should not be present. Oxidized, stale and aged characters are not typical of this style. Chill haze is allowable.",45,85,8.4,12,8,15,1.088,1.024,1.032,2012-03-21 20:06:46,2015-04-07 15:27:17,,
4Wlnuj,"1,2,3 Ale","1,2,3 Ale",,,,,,,32,N,,,,verified,Verified,,,2012-01-03 02:42:36,2012-03-22 13:04:45,,,,,,,,,,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,
2TLXwN,1.21 Gigawatts,1.21 Gigawatts,Strong trippel with a sweet after taste.,10.1,150,,,,63,N,,,,verified,Verified,,,2014-08-07 18:07:35,2014-11-18 21:19:09,,,,,,,,,,63,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Strong Ale,Belgian Pale Strong,"Belgian pale strong ales are pale to golden in color with relatively light body for a beer of its alcoholic strength. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception of hop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic character-being light to medium bodied rather than full bodied. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,4,10,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:16,,
LPSlqB,1.5ish Anniversary,1.5ish Anniversary,,9,,,,,57,N,,,,verified,Verified,,,2015-08-30 17:18:46,2015-08-31 19:13:36,,,,,,,,,,57,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Flanders Oud Bruin or Oud Red Ales,Flanders Red,"This light- to medium-bodied deep copper to brown ale is characterized by a slight to strong lactic sourness, and with ""Reds"" sometimes a balanced degree of acetic acid. Brettanomyces produced flavors and aromas are not part of character. A fruity-estery character which is often cherry-like is apparent with no hop flavor or aroma. Flanders brown ales have low to medium bitterness and a cocoa-like character from roast malt. Roasted malt character in aroma and flavor is acceptable at low levels. A very low degree of malt sweetness may be present and in balance with the acidity produced by Lactobacillus activity. Oak-like or woody characters may be pleasantly integrated into overall palate. Chill haze is acceptable at low serving temperatures. Some versions may be more highly carbonated and, when bottle conditioned, may appear cloudy (yeast) when served. These final beers are often blended old with new before packaging in order to create the brewer's intended balance of characters.",15,25,4.8,6.5,12,20,1.044,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:31:39,,
66mYWQ,1/2 Ale,1/2 Ale,,3.4,,5,,,72,N,https://s3.amazonaws.com/brewerydbapi/beer/66mYWQ/upload_JBpzQs-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/66mYWQ/upload_JBpzQs-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/66mYWQ/upload_JBpzQs-large.png,verified,Verified,,,2014-01-27 12:48:55,2015-12-17 08:48:09,5,Pint,2012-01-03 02:41:33,,,,,,,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,,
k6ilhY,10,10,,10,,8,,2,60,Y,,,,verified,Verified,cool,Cool - (8-12C/45-54F),2015-07-17 20:19:44,2015-07-17 20:19:44,8,Tulip,2012-01-03 02:41:33,,,,2,Limited,Limited availability.,60,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Quadrupel,Belgian Quad,"Quadrupels or ""Quads"" are characterized by the immense presence of alcohol and balanced flavor, bitterness and aromas. Its color is deep amber to rich chestnut/garnet brown. Often characterized by a mousse-like dense, sometimes amber head will top off a properly poured and served quad. Complex fruity aroma and flavor emerge reminiscent of raisins, dates, figs, grapes, plums often accompanied with a hint of winy character. Caramel, dark sugar and malty sweet flavors and aromas can be intense, not cloying, while complementing fruitiness. Though well attenuated it usually has a full, creamy body. Hop characters do not dominate; low to low-medium bitterness is perceived. Perception of alcohol can be extreme. Clove-like phenolic flavor and aroma should not be evident. Chill haze is acceptable at low serving temperatures. Diacetyl and DMS should not be perceived. Well balanced with savoring/sipping drinkability. Oxidative character if evident in aged Quads should be mild and pleasant.",25,50,9,14,8,20,1.084,1.014,1.02,2012-03-21 20:06:46,2015-04-07 15:33:33,,
BWQehj,10 Barrel OG. Wheat IPA,10 Barrel OG. Wheat IPA,,6.5,,9,,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/BWQehj/upload_mJfcvl-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/BWQehj/upload_mJfcvl-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/BWQehj/upload_mJfcvl-large.png,verified,Verified,,,2013-03-22 15:13:07,2015-12-17 01:10:32,9,Weizen,2012-01-03 02:41:33,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,
M6vu9P,10 Blocks South,10 Blocks South,"Tired of the standard American Pale Ale? Not feeling the hop bite and higher ABV of an IPA? We have something in-between. What you get is a hop-centric but easy drinking beer with tons of citrus and floral hop character brought on by Centennial, Cascade, Columbus and Chinook hops and backed with a solid malt bill.",5.5,56,5,9,3,25,N,,,,verified,Verified,,,2012-01-09 21:35:12,2013-08-09 15:10:28,5,Pint,2012-01-03 02:41:33,9,9,E58500,3,Not Available,Beer is not available.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,
oM70ly,10 Commandments,10 Commandments,,10,,,40,,126,N,https://s3.amazonaws.com/brewerydbapi/beer/oM70ly/upload_IcVU8o-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/oM70ly/upload_IcVU8o-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/oM70ly/upload_IcVU8o-large.png,verified,Verified,,,2013-11-18 12:53:51,2016-02-01 18:36:49,,,,40,40,36080A,,,,126,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Honey Lager or Ale,Honey Beer,"These beers are brewed using honey in addition to malted barley. Beers may be brewed to a traditional style or may be experimental. Character of honey should be evident in flavor and aroma and balanced with the other components without overpowering them. A statement by the brewer explaining the classic or other style of the beer, and the type of honey used is essential in order for fair assessment in competitions.",,100,2.5,12,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:45:03,,
VxrC7C,10 Day Scottish Ale,10 Day Scottish Ale,"A dark amber ale that focuses on the rich, nutty flavors of the malted barley it is made from. Malty and lightly sweet with a smooth, clean finish.",5.4,,,,,15,N,https://s3.amazonaws.com/brewerydbapi/beer/VxrC7C/upload_jlVWHQ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/VxrC7C/upload_jlVWHQ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/VxrC7C/upload_jlVWHQ-large.png,verified,Verified,,,2012-06-26 20:57:31,2015-12-16 17:58:16,,,,,,,,,,15,1,1,British Origin Ales,2012-03-21 20:06:45,Scotch Ale,Scotch Ale,"Scotch ales are overwhelmingly malty and full-bodied. Perception of hop bitterness is very low. Hop flavor and aroma are very low or nonexistent. Color ranges from deep copper to brown. The clean alcohol flavor balances the rich and dominant sweet maltiness in flavor and aroma. A caramel character is often a part of the profile. Dark roasted malt flavors and aroma may be evident at low levels. If present, fruity esters are generally at low aromatic and flavor levels. Low diacetyl levels are acceptable. Chill haze is allowable at cold temperatures. Though there is little evidence suggesting that traditionally made strong Scotch ales exhibited peat smoke character, the current marketplace offers many Scotch Ales with peat or smoke character present at low to medium levels. Thus a peaty/smoky character may be evident at low levels (ales with medium or higher smoke character would be considered a smoke flavored beer and considered in another category). Scotch Ales may be split into two subcategories: Traditional (no smoke character) and Peated (low level of peat smoke character).",25,35,6.2,8,15,30,1.072,1.016,1.028,2012-03-21 20:06:45,2015-04-07 15:21:11,,
d3hPda,10 Degrees of Separation,10 Degrees of Separation,With Molasses.,5.5,,,,,12,N,,,,verified,Verified,,,2015-06-18 14:00:06,2015-08-04 16:55:57,,,,,,,,,,12,1,1,British Origin Ales,2012-03-21 20:06:45,English-Style Brown Ale,English Brown,"English brown ales range from copper to brown in color. They have medium body and range from dry to sweet maltiness with very little hop flavor or aroma. Roast malt tones may sometimes contribute to the flavor and aroma profile. Low to medium-low levels of fruity-ester flavors are appropriate. Diacetyl should be very low, if evident. Chill haze is allowable at cold temperatures.",15,25,4,5.5,13,25,1.04,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:20:51,,
AFCFpF,10 Foot 10 Double IPA,10 Foot 10 Double IPA,"A double IPA with a strong hop aroma, high bitterness, high alcohol. Wonderfully complex. Enough said.",10.1,95,,,,31,Y,,,,verified,Verified,,,2015-06-08 17:14:07,2015-06-08 17:14:07,,,,,,,,,,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,
Y3bF6e,10 Point IPA,10 Point IPA,"Originally developed as a celebratory ale for owner Darren Smith’s wedding, our ambition was to create the most full-flavoured and balanced IPA on the market. Into the lab we went, coming out with a modern-day British-style India pale ale that stands proud of its hoppy heritage.",6,50,,,7,2,N,https://s3.amazonaws.com/brewerydbapi/beer/Y3bF6e/upload_nRb0wF-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/Y3bF6e/upload_nRb0wF-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/Y3bF6e/upload_nRb0wF-large.png,verified,Verified,,,2014-11-10 16:49:38,2015-12-17 19:38:29,,,,,,,7,Fall,Available during the fall months.,2,1,1,British Origin Ales,2012-03-21 20:06:45,English-Style India Pale Ale,English IPA,"Most traditional interpretations of English-style India pale ales are characterized by medium-high hop bitterness with a medium to medium-high alcohol content. Hops from a variety of origins may be used to contribute to a high hopping rate. Earthy and herbal English-variety hop character is the perceived end, but may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer, sometimes with subtle and balanced character of sulfur compounds. This pale gold to deep copper-colored ale has a medium to high, flowery hop aroma and may have a medium to strong hop flavor (in addition to the hop bitterness). English-style India pale ales possess medium maltiness and body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill haze is allowable at cold temperatures. Hops of other origins may be used for bitterness or approximating traditional English character.",35,63,5,7,6,14,1.05,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:18:33,,
6oOncF,10 Pound Torpedo Series Imperial IPA,10 Pound Torpedo Series Imperial IPA,,7.3,78,,,,31,N,,,,verified,Verified,,,2015-12-05 01:50:00,2015-12-08 19:34:04,,,,,,,,,,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,
nxmBqg,10 Speed Hoppy Wheat,10 Speed Hoppy Wheat,"“Whenever I see an adult on a bicycle, I have hope for the human race.” —H.G. Wells

Like an early morning summer ride through the Indiana countryside, this American wheat ale is golden and hazy with earthy pine and tropical fruit notes rippling throughout each sip. Mosaic hops bring their unique aromas of crisp citrus and juicy pineapple, creating an invigorating finish full of single-hopped bliss.",5.2,27,5,,1,113,N,https://s3.amazonaws.com/brewerydbapi/beer/nxmBqg/upload_UqTqav-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/nxmBqg/upload_UqTqav-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/nxmBqg/upload_UqTqav-large.png,verified,Verified,,,2014-05-13 11:58:12,2015-12-17 13:25:41,5,Pint,2012-01-03 02:41:33,,,,1,Year Round,Available year round as a staple beer.,113,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Light American Wheat Ale or Lager without Yeast,Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent wheat malt, and hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. A fruity-estery aroma and flavor are typical but at low levels however, phenolic, clove-like characteristics should not be perceived. Appearance can be clear or with chill haze, golden to light amber, and the body should be light to medium in character. Diacetyl should not be perceived. Because this style is packaged and served without yeast, no yeast characters should be evident in mouthfeel, flavor, or aroma.",10,35,3.8,5,2,10,1.036,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:42:53,1.054,
Ml1FV3,10 Squared,10 Squared,"The Mighty Fish Brewers first produced Ten Squared Anniversary Ale to celebrate Fish Brewing Company's tenth anniversary. The ale was so good and the response to it so overwhelmingly positive that it has become the crown jewel of REEL ALEs.

Ten different hops: Horizon, Chinook, Columbus, Willamette, Tradition, Northern Brewer, Santiam, Tettnanger, Cascade and Golding, in the order of their use -- give Ten Squared a unique hop character which has to be tasted to be believed.

Even with 100 IBUs, this brew sports a strong malt backbone. Two-row Pale, Caramel 40, Caramel 75, Special B and Aromatic malts impart remarkable balance for such a hop monster. This is smooth ale with surprising similarities to ten year old malt whiskey.",10,100,5,,4,34,N,https://s3.amazonaws.com/brewerydbapi/beer/Ml1FV3/upload_FAbrWH-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/Ml1FV3/upload_FAbrWH-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/Ml1FV3/upload_FAbrWH-large.png,verified,Verified,,,2012-01-03 02:42:36,2015-12-15 23:35:33,5,Pint,2012-01-03 02:41:33,,,,4,Seasonal,"Available at the same time of year, every year.",34,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,
y6LrZ3,10 Ton,10 Ton,"Creamy with hints of coffee, chocolate and vanilla. A faintly nutty, bitter finish.",7,30,5,34,1,21,N,https://s3.amazonaws.com/brewerydbapi/beer/y6LrZ3/upload_ac1Xgi-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/y6LrZ3/upload_ac1Xgi-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/y6LrZ3/upload_ac1Xgi-large.png,verified,Verified,,,2014-09-10 02:24:31,2015-12-17 16:43:51,5,Pint,2012-01-03 02:41:33,34,34,4C0505,1,Year Round,Available year round as a staple beer.,21,1,1,British Origin Ales,2012-03-21 20:06:45,Oatmeal Stout,Oatmeal Stout,"Oatmeal stouts include oatmeal in their grist, resulting in a pleasant, full flavor and a smooth profile that is rich without being grainy. A roasted malt character which is caramel-like and chocolate-like should be evident - smooth and not bitter. Coffee-like roasted barley and roasted malt aromas (chocolate and nut-like) are prominent. Color is dark brown to black. Bitterness is moderate, not high. Hop flavor and aroma are optional but should not overpower the overall balance if present. This is a medium- to full- bodied beer, with minimal fruity esters. Diacetyl should be absent or at extremely low levels. Original gravity range and alcohol levels are indicative of English tradition of oatmeal stout.",20,40,3.8,6,20,20,1.038,1.008,1.02,2012-03-21 20:06:45,2015-04-07 15:22:53,,
aMkjok,"10,000 Summers","10,000 Summers",,5.1,21.4,5,,,72,N,,,,verified,Verified,,,2012-09-13 12:26:58,2012-09-13 12:26:58,5,Pint,2012-01-03 02:41:33,,,,,,,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,,
