id,name,nameDisplay,description,abv,styleId,isOrganic,status,statusDisplay,createDate,updateDate,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,availableId,foodPairings,available/id,available/name,available/description,ibu,glasswareId,srmId,labels/icon,labels/medium,labels/large,servingTemperature,servingTemperatureDisplay,originalGravity,glass/id,glass/name,glass/createDate,srm/id,srm/name,srm/hex,year
r9lPS8,'Murican Brown Rye,'Murican Brown Rye,,6,117,N,verified,Verified,2014-11-04 18:25:34,2014-11-04 18:25:34,117,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Rye Ale or Lager with or without Yeast,Rye Ale,"Rye beers can be made using either ale or lager yeast. It should be brewed with at least 20 percent rye malt, and low to medium perception of hop bitterness. Hop aroma and flavor can be low to medium-high. These are often versions of classic styles that contain noticeable rye character in balance with other qualities of the beer. A spicy, fruity-estery aroma and flavor are typical but at low levels; however, phenolic, clove-like characteristics should not be perceived. Color is straw to amber, and the body should be light to medium in character. Diacetyl should not be perceived. If this style is packaged and served without yeast, no yeast characters should be evident in mouthfeel, flavor, or aroma. A low level of tannin derived astringency may be perceived. If this style is served with yeast, the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of rye and barley malt and hops. Darker versions of this style will be dark amber to dark brown, and the body should be light to medium in character. Roasted malts are optionally evident in aroma and flavor with a low level of roast malt astringency acceptable when appropriately balanced with malt sweetness. Roast malts may be evident as a cocoa/chocolate or caramel character. Aromatic toffee-like, caramel, or biscuit-like characters may be part of the overall flavor/aroma profile. As in the lighter colored versions, diacetyl should not be perceived. Competition directors may create specific styles of rye beer, such as Rye Pale Ale or Rye Brown Ale. A statement by the brewer indicating if the beer is based on a classic style is essential for accurate judging.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:44:12,,,,,,,,,,,,,,,,,,,,,
c4f2KE,'Murican Pilsner,'Murican Pilsner,,5.5,98,N,verified,Verified,2013-08-19 11:58:12,2015-12-17 06:02:53,98,8,8,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,"This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.",25,40,5,6,3,6,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,,,,,,,4,,https://s3.amazonaws.com/brewerydbapi/beer/c4f2KE/upload_jjKJ7g-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/c4f2KE/upload_jjKJ7g-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/c4f2KE/upload_jjKJ7g-large.png,,,,4,Pilsner,2012-01-03 02:41:33,,,,
EPLPz5,'n Toeback,'n Toeback,"'n Toeback is a top fermenting 'Kempense Quattro'.
Legend says that after drinking a toeback quattro one of the 'Wildemannen' takes the Sint-Katharina church of Hoogstraten out for a walk. He can carry a 105 meter tower, weighing 100 metric tons on his back! A magic beer, that 'toeback'!",9.5,63,N,verified,Verified,2012-11-06 12:28:06,2015-12-16 19:40:08,63,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Strong Ale,Belgian Pale Strong,"Belgian pale strong ales are pale to golden in color with relatively light body for a beer of its alcoholic strength. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception of hop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic character-being light to medium bodied rather than full bodied. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,4,10,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:16,,,,,,,,,https://s3.amazonaws.com/brewerydbapi/beer/EPLPz5/upload_WLs95w-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/EPLPz5/upload_WLs95w-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/EPLPz5/upload_WLs95w-large.png,,,,,,,,,,
IkRF2B,'Nother Day in Paradise,'Nother Day in Paradise,,,125,N,verified,Verified,2012-03-30 12:27:35,2015-12-16 16:13:22,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,3,,3,Not Available,Beer is not available.,,,,https://s3.amazonaws.com/brewerydbapi/beer/IkRF2B/upload_pe8G4j-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/IkRF2B/upload_pe8G4j-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/IkRF2B/upload_pe8G4j-large.png,,,,,,,,,,
pxM9nM,'Ol Blackie IPA,'Ol Blackie IPA,,6.6,41,N,verified,Verified,2012-12-14 11:46:56,2012-12-14 11:46:56,41,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Black Ale,Black Ale,"American-style Black Ales are very dark to black and perceived to have medium high to high hop bitterness, flavor and aroma with medium-high alcohol content, balanced with a medium body. Fruity, floral and herbal character from hops of all origins may contribute character. The style is further characterized by a balanced and moderate degree of caramel malt and dark roasted malt flavor and aroma. High astringency and high degree of burnt roast malt character should be absent.",50,70,6,7.5,35,35,1.056,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:28:36,4,,4,Seasonal,"Available at the same time of year, every year.",76,5,,,,,,,,5,Pint,2012-01-03 02:41:33,,,,
BjmFMX,'Scott's Addition' India Pale Ale,'Scott's Addition' India Pale Ale,"Finally an Isley IPA.... You will fall in love with this hoppy brew that comes through at 90 IBU's. The nose is piney with a hint of citrus, and the medium body and caramel maltiness are a refreshing change from your typical IPA. This ale crosses the line and tears through the stereotypes. … Give it a shot",7.5,30,N,verified,Verified,2014-07-04 13:01:31,2014-07-04 13:01:31,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,90,,,,,,,,,,,,,,,
i51yaD,'t Smisje Kirst,'t Smisje Kirst,,11,64,N,verified,Verified,2014-07-14 19:55:57,2015-12-17 15:18:38,64,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Dark Strong Ale,Belgian Dark Strong,"Belgian dark strong ales are amber to dark brown in color. Often, though not always, brewed with dark Belgian ""candy"" sugar, these beers can be well attenuated, ranging from medium to full-bodied. The perception of hop bitterness is low to medium, with hop flavor and aroma also in this range. Fruity complexity along with the soft flavors of roasted malts add distinct character. The alcohol strength of these beers can often be deceiving to the senses. The intensity of malt character can be rich, creamy, and sweet with intensities ranging from medium to high. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,9,35,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:23,,,,,,,,,https://s3.amazonaws.com/brewerydbapi/beer/i51yaD/upload_1WsEQd-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/i51yaD/upload_1WsEQd-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/i51yaD/upload_1WsEQd-large.png,,,,,,,,,,
qbRV90,'tis the Saison,'tis the Saison,A Saison brewed with rye malt and three types of peppercorn.  This is Bart’s first NoDable Series brew so come out and enjoy!,7,72,N,verified,Verified,2012-04-11 01:58:50,2015-12-16 16:20:18,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,2,,2,Limited,Limited availability.,30,5,7,https://s3.amazonaws.com/brewerydbapi/beer/qbRV90/upload_OhEPYR-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/qbRV90/upload_OhEPYR-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/qbRV90/upload_OhEPYR-large.png,,,,5,Pint,2012-01-03 02:41:33,7,7,F39C00,
SUt3fh,'Too Nice Yams','Too Nice Yams',"Sweet Potato Ale...our version of a Pumpkin Ale. 

We are Southerners, and what Southerner doesn't like sweet potatoes?

Sweet potatoes are baked till they begin to carmelize and are added directly to the mash.

This brew should remind you of a pumpkin pie. Spiced with just a touch of fall spices that do not overpower, brings this brew to be a fall favorite.

We also add pure maple syrup to compliment the sweet/caramel malt base, and finish off with vanilla extract.

The aroma and taste of Fall!",,121,N,verified,Verified,2015-03-11 23:28:26,2015-09-22 14:45:18,121,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Pumpkin Beer,Pumpkin Beer,"Pumpkin beers are any beers using pumpkins (Cucurbito pepo) as an adjunct in either mash, kettle, primary or secondary fermentation, providing obvious (ranging from subtle to intense), yet harmonious, qualities. Pumpkin qualities should not be overpowered by hop character. These may or may not be spiced or flavored with other things. A statement by the brewer explaining the nature of the beer is essential for fair assessment in competitions. If this beer is a classic style with pumpkin, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:28,7,,7,Fall,Available during the fall months.,,,,,,,,,,,,,,,,
o3V3Vy,'Venus Fly Trap' Imperial IPA,'Venus Fly Trap' Imperial IPA,"When the brewers at Isley Brewing Company and Original Gravity teamed up to craft an Imperial IPA,  we set out to make a beer that would showcase  our favorite hop flavors and aromas.  We used Citra, Centennial and Mosaic to create a beer  that is delightfully hoppy and surprisingly drinkable  for a beer of it's strength without getting into palate wrecking territory.  Venus Flytrap Imperial IPA will lure you in with a complex blend of hop aromas  once you get a taste....well,  you might not be going anywhere anytime soon.",8.5,31,N,verified,Verified,2014-07-04 13:01:57,2014-07-04 13:01:57,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,70,,,,,,,,,,,,,,,
QNDrfP,'You Had Me At Hello' Hefeweizen,'You Had Me At Hello' Hefeweizen,"This Hefeweizen will have your taste buds in love at hello, goodbye, and every sip in between  This wheat beer has gentle hints of banana and clove  with a sweet malty flavor. It will grab you on the first sip and you won't want to say goodbye",5.2,48,N,verified,Verified,2014-07-04 13:02:17,2015-06-18 17:51:56,48,4,4,German Origin Ales,2012-03-21 20:06:46,South German-Style Hefeweizen / Hefeweissbier,Hefeweizen,"The aroma and flavor of a Weissbier with yeast is decidedly fruity and phenolic. The phenolic characteristics are often described as clove-, nutmeg-like, mildly smoke-like or even vanilla-like. Banana-like esters should be present at low to medium-high levels. These beers are made with at least 50 percent malted wheat, and hop rates are quite low. Hop flavor and aroma are absent or present at very low levels. Weissbier is well attenuated and very highly carbonated and a medium to full bodied beer. The color is very pale to pale amber. Because yeast is present, the beer will have yeast flavor and a characteristically fuller mouthfeel and may be appropriately very cloudy. No diacetyl should be perceived.",10,15,4.9,5.5,3,9,1.047,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:29:27,,,,,,16,,,,,,,,,,,,,,,
qhaIVA,(306) URBAN WHEAT BEER,(306) URBAN WHEAT BEER,"A classic from Southern Germany with fruity banana notes and clove aroma. Featuring a slightly red hue from the Saskatchewan Red Wheat used. The wheat adds a soft, creamy, texture to refresh you.",5,65,N,verified,Verified,2016-05-05 16:52:57,2016-05-05 17:01:03,65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,10,17,4.8,5.2,2,4,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,1,,1,Year Round,Available year round as a staple beer.,20,,9,,,,cold,Cold - (4-7C/39-45F),,,,,9,9,E58500,
GMWSAD,(401) India Pale Ale,(401) India Pale Ale,,,30,N,verified,Verified,2013-07-22 23:17:15,2015-12-17 04:43:34,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,https://s3.amazonaws.com/brewerydbapi/beer/GMWSAD/upload_3dlRGl-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/GMWSAD/upload_3dlRGl-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/GMWSAD/upload_3dlRGl-large.png,,,,,,,,,,
rCr5op,(416) Local Lager,(416) Local Lager,"Brewed for our home town, the city of Toronto! This beer uses all natural ingredients to create a light citrus aroma and a clean, crisp, refreshing taste.",4.16,93,N,verified,Verified,2015-03-30 17:41:24,2016-01-04 19:48:26,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,1,,1,Year Round,Available year round as a staple beer.,15,,,,,,cold,Cold - (4-7C/39-45F),,,,,,,,
tciJOF,(512) ALT,(512) ALT,"(512) ALT is a German-style amber ale that is fermented cooler than typical ales and cold conditioned like a lager. ALT means ""old"" in German and refers to a beer style made using ale yeast after many German brewers had switched to newly discovered lager yeast. This ale has a very smooth, yet pronounced, hop bitterness with a malty backbone and a characteristic German yeast character. Made with 98% Organic 2-row and Munch malts and US noble hops.",6,55,N,verified,Verified,2012-01-03 02:42:36,2015-12-16 05:20:58,55,4,4,German Origin Ales,2012-03-21 20:06:46,German-Style Altbier,Altbier,"German-Style Altbiers are copper to dark brown ales, originally from the Düsseldorf area. No chill haze should be perceived. A variety of malts including wheat may be used to produce medium-low to medium malt aroma. Fruityester aroma can be low. No diacetyl aroma should be perceived. Hop aroma is low to medium. A variety of malts including wheat may be used to produce medium-low to medium level malty flavor. Hop flavor is low to medium. Hop bitterness is medium to very high (although the 25 to 35 IBU range is more normal for the majority of Altbiers from Düsseldorf). Fruity-ester flavors can be low. No diacetyl should be perceived. The overall impression is clean, crisp, and flavorful often with a dry finish. Body is medium.",25,52,4.3,5.5,11,19,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 17:08:31,5,,5,Spring,Available during the spring months.,36,5,21,https://s3.amazonaws.com/brewerydbapi/beer/tciJOF/upload_cdbSIJ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/tciJOF/upload_cdbSIJ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/tciJOF/upload_cdbSIJ-large.png,cold,Cold - (4-7C/39-45F),,5,Pint,2012-01-03 02:41:33,21,21,952D00,
6PPnT2,(512) Black IPA,(512) Black IPA,"An entirely new creation from organic 2-row, organic Crystal 60 and Carafa III, a huskless black malt that gives this beer it’s black color with notes of coffee and chicory without any tannic bitterness. The hop additions are many and generous, featuring Apollo, Horizon, and Nugget, clocking the beer in at 70 IBU. Over 11 pounds per batch of Nugget hops are added directly to the fermenter yielding a resiny herbal and spicy aroma. A hybrid style for dark beer fans who love hops.",7.5,125,N,verified,Verified,2012-01-03 02:42:36,2015-12-16 07:13:40,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,5,,5,Spring,Available during the spring months.,70,5,41,https://s3.amazonaws.com/brewerydbapi/beer/6PPnT2/upload_Cnl1UJ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/6PPnT2/upload_Cnl1UJ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/6PPnT2/upload_Cnl1UJ-large.png,cold,Cold - (4-7C/39-45F),,5,Pint,2012-01-03 02:41:33,41,Over 40,000000,
VwR7Xg,(512) Bruin (A.K.A. Brown Bear),(512) Bruin (A.K.A. Brown Bear),"At once cuddly and ferocious, (512) BRUIN combines a smooth, rich maltiness and mahogany color with a solid hop backbone and stealthy 7.6% alcohol. Made with Organic 2 Row and Munich malts, plus Chocolate and Crystal malts, domestic hops, and a touch of molasses, this brew has notes of raisins, dark sugars, and cocoa, and pairs perfectly with food and the crisp fall air.",7.6,37,N,verified,Verified,2012-01-03 02:42:36,2015-12-16 05:30:35,37,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Brown Ale,American Brown,"American brown ales range from deep copper to brown in color. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness, and a medium body. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",25,45,4,6.4,15,26,1.04,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:27:35,7,,7,Fall,Available during the fall months.,30,5,21,https://s3.amazonaws.com/brewerydbapi/beer/VwR7Xg/upload_MiNs9j-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/VwR7Xg/upload_MiNs9j-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/VwR7Xg/upload_MiNs9j-large.png,cold,Cold - (4-7C/39-45F),,5,Pint,2012-01-03 02:41:33,21,21,952D00,
SqP18Z,(512) Cascabel Cream Stout,(512) Cascabel Cream Stout,"Smooth and roasty, and black as night, (512) Cascabel Cream Stout is brewed to a hair under 6% abv using almost 90% Organic Two Row and Crystal Malts, Chocolate Malt, and Roasted Barley. Non-fermentable Brewers Lactose is added for lasting sweetness, and over 20 pounds of Guajillo Chiles are added to warm you up when the night gets “chile”.",6,20,N,verified,Verified,2012-01-03 02:42:36,2015-12-16 06:24:47,20,1,1,British Origin Ales,2012-03-21 20:06:45,Sweet or Cream Stout,Sweet Stout,"Sweet stouts, also referred to as cream stouts, have less roasted bitter flavor and a full-bodied mouthfeel. The style can be given more body with milk sugar (lactose) before bottling. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. Hops should balance and suppress some of the sweetness without contributing apparent flavor or aroma. The overall impression should be sweet and full-bodied.",15,25,3,6,40,40,1.045,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:24:41,8,,8,Winter,Available during the winter months.,20,5,41,https://s3.amazonaws.com/brewerydbapi/beer/SqP18Z/upload_8FxcuW-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/SqP18Z/upload_8FxcuW-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/SqP18Z/upload_8FxcuW-large.png,cool,Cool - (8-12C/45-54F),,5,Pint,2012-01-03 02:41:33,41,Over 40,000000,
SV7JCk,(512) FIVE,(512) FIVE,"(512) FIVE is the culmination of our experience thus far and features a lineup of some of our favorite ingredients. Organic American two-row and English Maris Otter malts lay the foundation, while a generous dose of English roasted barley, black malt and chocolate malt create layers of roasty, dark complexity. American and Belgian crystal malts give balance and depth to the roasted character. Multiple additions of UK Fuggle hops impart an earthy, spicy finish to this deep, dark Imperial Stout.",10.1,43,N,verified,Verified,2015-06-19 16:03:18,2015-12-18 02:19:48,43,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,8,,8,Winter,Available during the winter months.,45,6,41,https://s3.amazonaws.com/brewerydbapi/beer/SV7JCk/upload_RNljF3-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/SV7JCk/upload_RNljF3-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/SV7JCk/upload_RNljF3-large.png,cool,Cool - (8-12C/45-54F),,6,Snifter,2012-01-03 02:41:33,41,Over 40,000000,
oJFZwK,(512) FOUR,(512) FOUR,"For our 4th anniversary, we turned to one of our greatest inspirations, the rich brewing tradition of Great Britain.

(512) FOUR is a classic English-style Strong Ale. The biscuity Maris Otter and caramelly Crystal malts contribute notes of toast, toffee, and dried fruits, which are perfectly balanced with a blend of authentic UK Fuggle and East Kent Golding hops. Dry-hopped with Northdown, (512) FOUR is a complex and satisfying ale.",7.5,14,N,verified,Verified,2013-10-07 22:14:45,2015-12-17 06:36:42,14,1,1,British Origin Ales,2012-03-21 20:06:45,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,2012-03-21 20:06:45,2015-04-07 15:21:05,2,,2,Limited,Limited availability.,35,5,8,https://s3.amazonaws.com/brewerydbapi/beer/oJFZwK/upload_B40pzO-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/oJFZwK/upload_B40pzO-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/oJFZwK/upload_B40pzO-large.png,cold,Cold - (4-7C/39-45F),,5,Pint,2012-01-03 02:41:33,8,8,EA8F00,
