id,name,nameDisplay,description,abv,ibu,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,glasswareId,glass/id,glass/name,glass/createDate,year,foodPairings,servingTemperature,servingTemperatureDisplay,srmId,srm/id,srm/name,srm/hex,originalGravity,style/ogMax
9O0r2S,40 Years Gone,40 Years Gone,"An American IPA brewed by our dear friends and ABC Hall of Famers Jeff and Susan Rankert.  Their recipe pays tribute to the Pabst Brewing Company’s Ballantine IPA that Jeff first tasted in 1974.  Our favorite description for this beer comes from Beer Advocate:  “It is not polite. Its flavors are almost defiant- a huge nose with hops and malt struggling for control, a bit of oak, just the right carbonation and an insanely long finish worthy of any hop-head.”
In recognition of their contribution to a crowd-funding campaign at our Ypsilanti Microbrewery location, one of the perks extended to the Rankerts was the opportunity to stop by the brewery and brew the recipe of their choosing.  Fortunately for us, they are nationally acclaimed home-brewers and we think you’ll agree that they knocked it out of the park with this recipe.",7.2,90,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/9O0r2S/upload_gGOLDz-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/9O0r2S/upload_gGOLDz-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/9O0r2S/upload_gGOLDz-large.png,verified,Verified,2015-01-08 02:54:02,2015-12-17 20:08:06,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,"IPAs love strong flavors.  This will be fantastic with smoked meats, veggies and cheeses.  If you’re dining at the pub we suggest it with our famous Arburger, roasted garlic, or sweet potato boxty stack.",,,,,,,,
jxT0I5,400 Divine Rabbits,400 Divine Rabbits,"A divine brew for me and you. This heavenly brew is sure to satisfy all who you offer it to… and by all, we mean ALL. Two or twenty, be sure to keep enough on hand lest you anger the gods.",5.975,15,,35,N,https://s3.amazonaws.com/brewerydbapi/beer/jxT0I5/upload_dlU99F-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/jxT0I5/upload_dlU99F-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/jxT0I5/upload_dlU99F-large.png,verified,Verified,2012-03-06 12:45:00,2015-12-18 16:19:20,,,,35,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Wheat Wine Ale,Wheatwine,"American style wheat wines range from gold to deep amber and are brewed with 50% or more wheat malt. They have full body and high residual malty sweetness. Perception of bitterness is moderate to medium -high. Fruity-ester characters are often high and counterbalanced by complexity of alcohols and high alcohol content. Hop aroma and flavor are at low to medium levels. Very low levels of diacetyl may be acceptable. Bready, wheat, honey-like and/or caramel aroma and flavor are often part of the character. Phenolic yeast character, sulfur, and/or sweet corn-like dimethylsulfide (DMS) should not be present. Oxidized, stale and aged characters are not typical of this style. Chill haze is allowable.",45,85,8.4,12,8,15,1.088,1.024,1.032,2012-03-21 20:06:46,2015-04-07 15:27:17,5,5,Pint,2012-01-03 02:41:33,,,,,10,10,10,DE7C00,,
grCeLv,400 Pound Monkey,400 Pound Monkey,"Because this one ain't like them others.
We use hops of a different color, earthy and herbal, well-balanced by bready malt. The result? An English-style IPA that separates itself from the ubiquitous bunch. Cartloads of bitter monkeys flinging wasteful amounts of bananas into the jungle . . .we're so done with that.",6.8,,1,2,N,https://s3.amazonaws.com/brewerydbapi/beer/grCeLv/upload_HxKgL3-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/grCeLv/upload_HxKgL3-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/grCeLv/upload_HxKgL3-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 06:51:09,1,Year Round,Available year round as a staple beer.,2,1,1,British Origin Ales,2012-03-21 20:06:45,English-Style India Pale Ale,English IPA,"Most traditional interpretations of English-style India pale ales are characterized by medium-high hop bitterness with a medium to medium-high alcohol content. Hops from a variety of origins may be used to contribute to a high hopping rate. Earthy and herbal English-variety hop character is the perceived end, but may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer, sometimes with subtle and balanced character of sulfur compounds. This pale gold to deep copper-colored ale has a medium to high, flowery hop aroma and may have a medium to strong hop flavor (in addition to the hop bitterness). English-style India pale ales possess medium maltiness and body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill haze is allowable at cold temperatures. Hops of other origins may be used for bitterness or approximating traditional English character.",35,63,5,7,6,14,1.05,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:18:33,5,5,Pint,2012-01-03 02:41:33,,,,,10,10,10,DE7C00,,
R3gr5z,4000 Footer IPA,4000 Footer IPA,,6.5,,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/R3gr5z/upload_5N8ygf-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/R3gr5z/upload_5N8ygf-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/R3gr5z/upload_5N8ygf-large.png,verified,Verified,2013-11-12 12:35:06,2015-12-17 06:29:31,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
kJOtRp,4042 Stout,4042 Stout,"Deep River Brewing Company's 4042 stout is a sweet stout brewed with generous amounts of freshly ground cocoa, chocolate malt and cocoa nibs from local North Carolina chocolatiers.",6.5,,1,20,N,https://s3.amazonaws.com/brewerydbapi/beer/kJOtRp/upload_Ek4KaW-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/kJOtRp/upload_Ek4KaW-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/kJOtRp/upload_Ek4KaW-large.png,verified,Verified,2013-04-24 14:35:45,2015-12-17 01:06:36,1,Year Round,Available year round as a staple beer.,20,1,1,British Origin Ales,2012-03-21 20:06:45,Sweet or Cream Stout,Sweet Stout,"Sweet stouts, also referred to as cream stouts, have less roasted bitter flavor and a full-bodied mouthfeel. The style can be given more body with milk sugar (lactose) before bottling. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. Hops should balance and suppress some of the sweetness without contributing apparent flavor or aroma. The overall impression should be sweet and full-bodied.",15,25,3,6,40,40,1.045,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:24:41,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
T3WMGK,40th Annual Bix Street Fest Copper Ale,40th Annual Bix Street Fest Copper Ale,,4.8,25,,,N,https://s3.amazonaws.com/brewerydbapi/beer/T3WMGK/upload_HiSbcO-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/T3WMGK/upload_HiSbcO-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/T3WMGK/upload_HiSbcO-large.png,verified,Verified,2012-01-03 02:42:37,2012-03-22 13:05:22,,,,,,,,,,,,,,,,,,,,,,,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
mtufJc,411,411,"Part of Magic Numbers, a dreamy small-batch series: 411 is an IPA brewed with wild strawberry, rhubarb, vanilla and lactose.",6,,,30,Y,https://s3.amazonaws.com/brewerydbapi/beer/mtufJc/upload_mmh3Le-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/mtufJc/upload_mmh3Le-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/mtufJc/upload_mmh3Le-large.png,verified,Verified,2015-05-20 17:43:31,2015-12-18 01:57:51,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,,
g35eFD,413,413,,6,,1,72,N,https://s3.amazonaws.com/brewerydbapi/beer/g35eFD/upload_Z7KRw6-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/g35eFD/upload_Z7KRw6-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/g35eFD/upload_Z7KRw6-large.png,verified,Verified,2012-11-04 22:09:28,2015-12-16 20:23:05,1,Year Round,Available year round as a staple beer.,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
bigZnG,42,42,"Part of Magic Numbers, a dreamy small-batch series: 42 is a witbier brewed with passion fruit and key lime juice.",4.5,,,65,Y,https://s3.amazonaws.com/brewerydbapi/beer/bigZnG/upload_J2jSz3-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/bigZnG/upload_J2jSz3-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/bigZnG/upload_J2jSz3-large.png,verified,Verified,2015-05-20 17:17:39,2015-12-18 01:56:29,,,,65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,10,17,4.8,5.2,2,4,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,,,,,,,,,,,,,,
NoNhan,420 Extra Pale Ale,420 Extra Pale Ale,"SweetWater 420 Extra Pale Ale, our most popular brew, is a tasty West Coast-style pale ale with a stimulating hop character and a crisp finish. 1st brewed on April 20th 1997.

Grains – Munich, 40L, 2-Row
Hops – Centennial, Cascade

Awards – 2002 Silver Medal- Great American Beer Festival, 1997 – 2005 Creative Loafing Readers Choice – Best local beer, 1998 World Beer Cup silver medal, Top 10 Local beers – Atlanta Journal Constitution",5.4,,1,25,N,https://s3.amazonaws.com/brewerydbapi/beer/NoNhan/upload_FgWgmB-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/NoNhan/upload_FgWgmB-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/NoNhan/upload_FgWgmB-large.png,verified,Verified,2012-01-03 02:44:20,2015-12-29 19:23:36,1,Year Round,Available year round as a staple beer.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
33Ov6W,422 Pale Wheat Ale,422 Pale Wheat Ale,"Pour 422 Pale Wheat Ale into a pint glass, give it a long whiff and you’ll realize that this isn’t your average pale golden wheat. Preserved in its unfiltered state, 422 is a fantastic session ale in which flavors of wheat, barley and hops commingle to a refreshing and zesty conclusion. Hints of orange and sweet malts waft to the fore as a touch of bitterness contributes to a smooth finish. 422 is brewed as a tribute to preserving our precious planet and it’s environment. It is responsibly packaged with over 80% recycled consumer products and is completely recyclable. Enjoy 422 all year as to take one stride closer to an eco-friendly life.",5.8,,3,112,N,https://s3.amazonaws.com/brewerydbapi/beer/33Ov6W/upload_4AbBPR-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/33Ov6W/upload_4AbBPR-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/33Ov6W/upload_4AbBPR-large.png,verified,Verified,2012-01-03 02:42:37,2016-01-12 16:08:03,3,Not Available,Beer is not available.,112,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Light American Wheat Ale or Lager with Yeast,Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent wheat malt, and hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. Fruity-estery aroma and flavor are typical but at low levels however, phenolic, clove-like characteristics should not be perceived. Color is usually straw to light amber, and the body should be light to medium in character. Diacetyl should not be perceived. Because this style is served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is also acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops. These beers are typically served with the yeast in the bottle, and are cloudy when served.",10,35,3.5,5.5,4,10,1.036,1.006,1.018,2012-03-21 20:06:46,2015-04-07 15:42:48,5,5,Pint,2012-01-03 02:41:33,,,,,5,5,5,FBB123,,
gnL4dd,423 Blonde Ale,423 Blonde Ale,A light colored and delicately balanced beer. American 2 row malt and a touch of Canadian Honey Malt lend a slight honey overtone that is balanced by Hallertau Polaris hops resulting in a highly drinkable balanced ale.,5,10.9,,36,N,https://s3.amazonaws.com/brewerydbapi/beer/gnL4dd/upload_SFNxk9-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/gnL4dd/upload_SFNxk9-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/gnL4dd/upload_SFNxk9-large.png,verified,Verified,2015-03-23 14:46:41,2015-12-18 00:52:32,,,,36,3,3,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,"Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.",15,25,4,5,3,7,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,,,,,,,,,5,5,5,FBB123,,
02abvN,435,435,,5.2,,,25,N,https://s3.amazonaws.com/brewerydbapi/beer/02abvN/upload_7ojS62-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/02abvN/upload_7ojS62-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/02abvN/upload_7ojS62-large.png,verified,Verified,2013-11-17 22:33:01,2015-12-17 07:43:43,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,,,,,,,,
QYD5vt,467 Ethan's Stout,467 Ethan's Stout,467 – Ethan’s Stout: Our stout is 5% alcohol by volume with all of the roasted barley flavor you expect balanced with caramel sweetness. The inspiration for our stout came by way of a great man named Ethan. Ethan went to the police academy with co-founder Jason wanting to serve as a member of the law enforcement community. Ethan’s life was tragically cut short due to cancer and we felt no better way to honor him than craft a beer in his honor. We hope this hand crafted stout reflects the flavors Ethan would expect and love from this style of beer.,5,,1,42,N,https://s3.amazonaws.com/brewerydbapi/beer/QYD5vt/upload_9lpo4b-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/QYD5vt/upload_9lpo4b-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/QYD5vt/upload_9lpo4b-large.png,verified,Verified,2012-10-22 11:09:38,2015-12-16 19:42:58,1,Year Round,Available year round as a staple beer.,42,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
0NYvZh,46’ Dodge,46’ Dodge,46’ Dodge is a Bourbon barrel aged blend that has a smooth smoky – oak flavor. This cider is meant to be sipped or served over ice like a nice whiskey. If you like a smooth glass of scotch with your favorite cigar then this is one you have to try.,7.2,,,157,N,https://s3.amazonaws.com/brewerydbapi/beer/0NYvZh/upload_92nLJC-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/0NYvZh/upload_92nLJC-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/0NYvZh/upload_92nLJC-large.png,verified,Verified,2015-02-26 14:40:21,2015-12-17 21:17:42,,,,157,12,12,"Mead, Cider, & Perry",2012-03-21 20:06:46,Other Specialty Cider or Perry,Specialty Cider,,,,5,12,,,1.045,0.995,1.02,2012-03-21 20:06:46,2015-04-07 15:49:22,,,,,,,,,,,,,,1.1
lWygSS,471 Double IPA - Hull Melon,471 Double IPA - Hull Melon,,9.2,,2,31,N,https://s3.amazonaws.com/brewerydbapi/beer/lWygSS/upload_krkDHm-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/lWygSS/upload_krkDHm-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/lWygSS/upload_krkDHm-large.png,verified,Verified,2015-11-18 18:37:22,2015-12-18 04:25:15,2,Limited,Limited availability.,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,,,,,,
j9cp5e,471 Double IPA Small Batch,471 Double IPA Small Batch,"Hoppy? Brother, 471 IPA redefines hoppy. 471 is a small batch, limited edition ale that was created by our Brewmaster to separate the weak from the strong. 471 is a double IPA, that combines Pale, Munich, Caramel-30, Carapils and Torrified Wheat malts, with Chinook, Centennial, Simcoe and Fuggles hops. It has a big sweet mouthfeel, followed by more hoppiness than you've ever had at one time. Enjoy.",9.2,70,1,30,N,https://s3.amazonaws.com/brewerydbapi/beer/j9cp5e/upload_Rd5ugn-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/j9cp5e/upload_Rd5ugn-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/j9cp5e/upload_Rd5ugn-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-15 20:47:30,1,Year Round,Available year round as a staple beer.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,8,8,Tulip,2012-01-03 02:41:33,,,,,11,11,11,D77200,,
GN0Euv,47° North,47° North,,7,,1,2,N,https://s3.amazonaws.com/brewerydbapi/beer/GN0Euv/upload_B1ZekB-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/GN0Euv/upload_B1ZekB-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/GN0Euv/upload_B1ZekB-large.png,verified,Verified,2013-02-18 15:48:18,2015-12-17 00:04:27,1,Year Round,Available year round as a staple beer.,2,1,1,British Origin Ales,2012-03-21 20:06:45,English-Style India Pale Ale,English IPA,"Most traditional interpretations of English-style India pale ales are characterized by medium-high hop bitterness with a medium to medium-high alcohol content. Hops from a variety of origins may be used to contribute to a high hopping rate. Earthy and herbal English-variety hop character is the perceived end, but may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer, sometimes with subtle and balanced character of sulfur compounds. This pale gold to deep copper-colored ale has a medium to high, flowery hop aroma and may have a medium to strong hop flavor (in addition to the hop bitterness). English-style India pale ales possess medium maltiness and body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill haze is allowable at cold temperatures. Hops of other origins may be used for bitterness or approximating traditional English character.",35,63,5,7,6,14,1.05,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:18:33,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
JLbIUL,4BEANS,4BEANS,"With the addition of Madagascar vanilla beans, 4BEANS takes Sixpoint Imperial Porter to the next level. Romano beans used by bygone brewers provide body, as the flavors of dark malt, cocoa and coffee are rounded out by smooth vanilla. The result is a quadrality of roasted, savory, and complex flavors. Modern formulation meets Baltic tradition and BKLYN partnership... it's Mad Science.",10,40,2,158,N,https://s3.amazonaws.com/brewerydbapi/beer/JLbIUL/upload_ZjvIot-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/JLbIUL/upload_ZjvIot-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/JLbIUL/upload_ZjvIot-large.png,verified,Verified,2015-08-19 19:02:19,2015-12-18 05:20:37,2,Limited,Limited availability.,158,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Porter,American Imperial Porter,"American-style imperial porters are black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness. Hop bitterness is perceived at a medium-low to medium level. Hop flavor and aroma may vary from being low to medium-high. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment hop character and malt derived sweetness. Diacetyl (butterscotch) levels should be absent.",35,50,5.5,9.5,40,40,1.08,1.02,1.03,2013-08-10 12:42:51,2015-04-07 15:49:32,6,6,Snifter,2012-01-03 02:41:33,,"Bourbon vanilla ice cream sundae with hot fudge, spicy steak sandwich with onions",cellar,Cellar - (12-14C/54-57F),41,41,Over 40,000000,,1.1
