id,name,nameDisplay,description,abv,styleId,isOrganic,status,statusDisplay,createDate,updateDate,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,ibu,glasswareId,availableId,originalGravity,glass/id,glass/name,glass/createDate,available/id,available/name,available/description,beerVariationId,year,labels/icon,labels/medium,labels/large,beerVariation/id,beerVariation/name,beerVariation/nameDisplay,beerVariation/description,beerVariation/abv,beerVariation/glasswareId,beerVariation/availableId,beerVariation/styleId,beerVariation/isOrganic,beerVariation/year,beerVariation/status,beerVariation/statusDisplay,beerVariation/createDate,beerVariation/updateDate,beerVariation/glass/id,beerVariation/glass/name,beerVariation/glass/createDate,beerVariation/available/id,beerVariation/available/name,beerVariation/available/description,beerVariation/style/id,beerVariation/style/categoryId,beerVariation/style/category/id,beerVariation/style/category/name,beerVariation/style/category/createDate,beerVariation/style/name,beerVariation/style/shortName,beerVariation/style/description,beerVariation/style/ibuMin,beerVariation/style/ibuMax,beerVariation/style/abvMin,beerVariation/style/abvMax,beerVariation/style/srmMin,beerVariation/style/srmMax,beerVariation/style/ogMin,beerVariation/style/fgMin,beerVariation/style/fgMax,beerVariation/style/createDate,beerVariation/style/updateDate,foodPairings,srmId,srm/id,srm/name,srm/hex,servingTemperature,servingTemperatureDisplay
xYDdPk,11th Conversation,11th Conversation,"""May I please have another wit?""

""I'm amused by the one you have.""

A pinkish hibiscus hue tints this cloudy wheat beer. Each sip expresses a slightly tart fruitiness that refreshes the senses. Brewed with hibiscus flowers, coriander, orange and lemon peels.",4.7,65,N,verified,Verified,2015-06-09 22:53:56,2015-06-10 14:49:24,65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,10,17,4.8,5.2,2,4,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mYRHDy,11th Hour,11th Hour,Portly Stout with vanilla beans.,6.2,42,Y,verified,Verified,2015-07-21 15:58:45,2015-07-21 15:58:45,42,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mtFCP5,11th Hour IPA,11th Hour IPA,"Hop aroma and flavor dominate this IPA. However, the malt character of this deep amber colored ale nicely balances the hop component thus avoiding a harsh bitterness. Pure hoppiness!",,30,N,verified,Verified,2012-01-03 02:42:36,2015-12-16 14:29:52,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,5,1,,5,Pint,2012-01-03 02:41:33,1,Year Round,Available year round as a staple beer.,,,https://s3.amazonaws.com/brewerydbapi/beer/mtFCP5/upload_Z9H8Xl-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/mtFCP5/upload_Z9H8Xl-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/mtFCP5/upload_Z9H8Xl-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iQSnId,12,12,,12,59,N,verified,Verified,2016-04-22 22:58:11,2016-05-17 18:37:39,59,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q6sk76,12 Apostles,12 Apostles,Kolsch style light German Ale,6.1,45,N,verified,Verified,2014-09-10 20:27:55,2015-12-17 17:04:13,45,4,4,German Origin Ales,2012-03-21 20:06:46,German-Style Kölsch / Köln-Style Kölsch,Kölsch,"Kölsch is warm fermented and aged at cold temperatures (German ale or alt-style beer). Kölsch is characterized by a golden to straw color and a slightly dry, subtly sweet softness on the palate, yet crisp. Good, dense head retention is desirable. Light pearapple-Riesling wine-like fruitiness may be apparent, but is not necessary for this style. Caramel character should not be evident. The body is light to medium-light. This beer has low hop flavor and aroma with medium bitterness. Wheat can be used in brewing this beer. Ale yeast is used for fermentation, though lager yeast is sometimes used in the bottle or final cold conditioning process. Fruity esters should be minimally perceived, if at all. Chill haze should be absent.",18,25,4.8,5.3,4,6,1.042,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:29:04,23,,,,,,,,,,,,https://s3.amazonaws.com/brewerydbapi/beer/q6sk76/upload_o8fJy3-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/q6sk76/upload_o8fJy3-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/q6sk76/upload_o8fJy3-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fHOraf,12 Dogs of Christmas Ale,12 Dogs of Christmas Ale,"Spiced for the holidays with honey, cinnamon, ginger, nutmeg and Santa's secret recipe.",8.3,124,N,verified,Verified,2012-01-03 02:42:36,2015-12-16 03:13:34,124,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Herb and Spice Beer,Spice Beer,"Herb beers use herbs or spices (derived from roots, seeds, fruits, vegetable, flowers, etc.) other than or in addition to hops to create a distinct (ranging from subtle to intense) character, though individual characters of herbs and/or spices used may not always be identifiable. Under hopping often, but not always, allows the spice or herb to contribute to the flavor profile. Positive evaluations are significantly based on perceived balance of flavors. Note: Chili-flavored beers that emphasize heat rather than chili flavor should be entered as a ""spiced"" beer.  A statement by the brewer explaining what herbs or spices are used is essential in order for fair assessment in competitions. Specifying a style upon which the beer is based may help evaluation. If this beer is a classic style with an herb or spice, the brewer should specify the classic style. If no Chocolate or Coffee category exists in a competition, then chocolate and coffee beers should be entered in this category.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:45,21.5,5,4,,5,Pint,2012-01-03 02:41:33,4,Seasonal,"Available at the same time of year, every year.",,,https://s3.amazonaws.com/brewerydbapi/beer/fHOraf/upload_wFaQNi-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/fHOraf/upload_wFaQNi-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/fHOraf/upload_wFaQNi-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k6x1Eb,12 Gauge,12 Gauge,,9.9,30,N,verified,Verified,2016-01-14 19:25:11,2016-01-14 19:25:11,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,E58500,,
TRptV0,12 Hops Of Christmas,12 Hops Of Christmas,"12 Hops of Christmas is our is our celebration brew that we concocted with 12 different hops.  This IPA is light in color and dry to the finish.  Celebrate the 12 Days of Christmas with each of theses...Amarillo, Apollo, Bravo, Citra, Centinninal, Calypso, Cascade, Chinook, Nugget, Millenium, Warrior, and Zythos.",7,30,N,verified,Verified,2013-01-21 22:21:52,2015-12-17 00:46:28,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,4,,,,,4,Seasonal,"Available at the same time of year, every year.",,,https://s3.amazonaws.com/brewerydbapi/beer/TRptV0/upload_GGmj14-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/TRptV0/upload_GGmj14-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/TRptV0/upload_GGmj14-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eTXOhc,12 Horse Ale,12 Horse Ale,,,36,N,verified,Verified,2012-01-03 02:42:36,2015-12-16 10:40:47,36,3,3,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,"Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.",15,25,4,5,3,7,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,,,,,,,,,,,,,https://s3.amazonaws.com/brewerydbapi/beer/eTXOhc/upload_h8ZyKD-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/eTXOhc/upload_h8ZyKD-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/eTXOhc/upload_h8ZyKD-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIypH1,12 Man,12 Man,,4.5,25,N,verified,Verified,2013-11-21 16:44:58,2015-12-17 08:04:11,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,,,,,,,https://s3.amazonaws.com/brewerydbapi/beer/SIypH1/upload_4AMPJJ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/SIypH1/upload_4AMPJJ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/SIypH1/upload_4AMPJJ-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8vtb9K,12 Penny Scottish Ale,12 Penny Scottish Ale,"A Scottish export ale collaboration with Great Fermentations. This cold-conditioned ale puts a light hop on to balance the malt. Add in a nice, crisp finish and you've got a sessionable beer perfect to celebrate Spring, the end of the workday, good friends (consulting 1001 Things to be Happy About)*, peanut butter and jelly sandwiches, puppies, sand dollars...",,7,N,verified,Verified,2012-04-18 23:58:22,2015-12-16 15:56:26,7,1,1,British Origin Ales,2012-03-21 20:06:45,Scottish-Style Light Ale,Scottish Light,"Scottish light ales are light bodied. Little bitterness is perceived, and hop flavor or aroma should not be perceived. Despite its lightness, Scottish light ale will have a degree of malty, caramel-like, soft and chewy character. Yeast characters such as diacetyl (butterscotch) and sulfuriness are acceptable at very low levels. The color will range from golden amber to deep brown Bottled versions of this traditional draft beer may contain higher amounts of carbon dioxide than is typical for mildly carbonated draft versions. Chill haze is acceptable at low temperatures. Though there is little evidence suggesting that traditionally made Scottishstyle light ales exhibited peat smoke character, the current marketplace offers many Scottish-style light ales with peat or smoke character present at low to medium levels. Thus a peaty/smoky character may be evident at low levels (ales with medium or higher smoke character would be considered a smoke flavored beer and considered in another category). Scottish-style light ales may be split into two subcategories: Traditional (no smoke character) and Peated (low level of peat smoke character).",9,20,2.8,3.5,8,17,1.03,1.006,1.012,2012-03-21 20:06:45,2015-04-07 15:19:41,,5,2,,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,,,https://s3.amazonaws.com/brewerydbapi/beer/8vtb9K/upload_IQqJQv-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/8vtb9K/upload_IQqJQv-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/8vtb9K/upload_IQqJQv-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOf7Z5,12 Plato Lager,12 Plato Lager,"Modern svensk lager, bryggd på lagermalt, karamellmalt och kristallmalt. Humlad med Pilgrim (UK) och Perle (Tyskland) för beska, Willamette (USA) för smak, samt Cascade för arom.",5,93,N,verified,Verified,2016-05-03 17:48:30,2016-05-03 17:48:30,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I4diW8,"12"" Winale","12"" Winale","The perfect combination of wine meets beer! Great balance, good acidity and tons of stone fruit from the grape juice added in the brewing process.",8.1,71,N,verified,Verified,2015-09-03 02:44:01,2015-09-08 16:31:22,71,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French-Style Bière de Garde,Bière de Garde,"Beers in this category are golden to deep copper or light brown in color. They are light to medium in body. This style of beer is characterized by a toasted malt aroma, slight malt sweetness in flavor, and low to medium hop bitterness. Noble-type hop aromas and flavors should be low to medium. Fruity esters can be light to medium in intensity. Flavor of alcohol is evident. Earthy, cellarlike, musty aromas are okay. Diacetyl should not be perceived but chill haze is okay. Often bottle conditioned with some yeast character. French-Style Biére de Garde may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,30,4.5,8,8,16,1.06,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:34:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWlB8A,120 Minute IPA,120 Minute IPA,"Too extreme to be called beer? Brewed to a colossal 45-degree plato, boiled for a full 2 hours while being continuously hopped with high-alpha American hops, then dry-hopped daily in the fermenter for a month & aged for another month on whole-leaf hops!!!

Our 120 Minute I.P.A. is by far the biggest I.P.A. ever brewed! At about 18% abv and 120 ibus you can see why we call this beer THE HOLY GRAIL for hopheads!

We brew 120 Minute IPA three times a year, but it goes fast. If you find some grab a few bottles, some to enjoy and some to age.",18,31,N,verified,Verified,2012-01-03 02:42:36,2015-12-15 23:33:47,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,120,5,2,,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,,,https://s3.amazonaws.com/brewerydbapi/beer/EWlB8A/upload_mbZriI-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/EWlB8A/upload_mbZriI-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/EWlB8A/upload_mbZriI-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Smoked almonds, smoked meats, grilled lamb, gingersnaps",21,21,21,952D00,,
0UUty4,120 Shilling,120 Shilling,"This strong scotch-style ale has high maltiness, full body, low hop bitterness, flavor & aroma, low-medium fruity esters, very deep copper color,
slight chill haze, clean alcohol flavor balancing the rich and dominant sweet caramel & dark roasted maltiness flavor and aroma with a very low level of peaty/smoky character from the addition of small amounts of peated malt.",9.1,8,N,verified,Verified,2014-03-22 13:41:37,2015-12-17 10:55:57,8,1,1,British Origin Ales,2012-03-21 20:06:45,Scottish-Style Heavy Ale,Scottish Heavy,"Scottish heavy ale is moderate in strength and dominated by a smooth, sweet maltiness balanced with low, but perceptible, hop bitterness. Hop flavor or aroma should not be perceived. Scottish heavy ale will have a medium degree of malty, caramel-like, soft and chewy character in flavor and mouthfeel. It has medium body, and fruity esters are very low, if evident. Yeast characters such as diacetyl (butterscotch) and sulfuriness are acceptable at very low levels. The color will range from golden amber to deep brown. Bottled versions of this traditional draft beer may contain higher amounts of carbon dioxide than is typical for mildly carbonated draft versions. Chill haze is acceptable at low temperatures. Though there is little evidence suggesting that traditionally made Scottish-style heavy ales exhibited peat smoke character, the current marketplace offers many Scottish-style heavy ales with peat or smoke character present at low to medium levels. Thus a peaty/smoky character may be evident at low to medium levels (ales with medium-high or higher smoke character would be considered a smoke flavored beer and considered in another category). Scottish-style heavy ales may be split into two subcategories: Traditional (no smoke character) and Peated (low level of peat smoke character).",12,20,3.5,4,10,19,1.035,1.01,1.014,2012-03-21 20:06:45,2015-04-07 15:19:48,30,6,2,1.09,6,Snifter,2012-01-03 02:41:33,2,Limited,Limited availability.,,,https://s3.amazonaws.com/brewerydbapi/beer/0UUty4/upload_2ZhRcN-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/0UUty4/upload_2ZhRcN-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/0UUty4/upload_2ZhRcN-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,26,771900,,
i7SC2N,120 Shilling Scotch Ale,120 Shilling Scotch Ale,,,14,N,verified,Verified,2012-01-03 02:42:36,2015-05-13 21:18:28,14,1,1,British Origin Ales,2012-03-21 20:06:45,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,2012-03-21 20:06:45,2015-04-07 15:21:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPixxt,1221 Stout,1221 Stout,,12,43,N,verified,Verified,2014-06-16 15:54:58,2014-06-16 19:19:03,43,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n1oDDP,1225 IPA,1225 IPA,,5.9,30,N,verified,Verified,2014-04-29 10:04:17,2015-12-17 11:37:00,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,https://s3.amazonaws.com/brewerydbapi/beer/n1oDDP/upload_GSX07n-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/n1oDDP/upload_GSX07n-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/n1oDDP/upload_GSX07n-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xWbsgP,1248 AUGUSTINIAN ALE,1248 AUGUSTINIAN ALE,"Originally brewed to celebrate the 750th anniversary of the Augustinian priory in Clare, Suffolk, birthplace of the Nethergate Brewery. A wonderfully smooth drinking premium beer. A hint of Crystal malt and the late addition of Styrian Goldings hops gives a continental feel. Its habit forming!",4.5,125,N,verified,Verified,2012-01-03 02:42:43,2015-12-15 21:34:02,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,4,,,,,4,Seasonal,"Available at the same time of year, every year.",,,https://s3.amazonaws.com/brewerydbapi/beer/xWbsgP/upload_VFkVym-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/xWbsgP/upload_VFkVym-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/xWbsgP/upload_VFkVym-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
odGK5E,12th Anniversary,12th Anniversary,A dozen years and going strong! Our 12th Anniversary beer is our take on a classic Vienna lager. Light amber in color with a clean crisp character. Low bitterness and a toasted malt character highlight this easy drinker,4.8,80,N,verified,Verified,2015-04-24 21:18:17,2015-04-24 21:18:17,80,7,7,European-germanic Lager,2012-03-21 20:06:46,Vienna-Style Lager,Vienna Lager,"Beers in this category are reddish brown or copper colored. They are medium in body. The beer is characterized by malty aroma and slight malt sweetness. The malt aroma and flavor should have a notable degree of toasted and/or slightly roasted malt character. Hop bitterness is clean and crisp. Noble-type hop aromas and flavors should be low or mild. Diacetyl, chill haze and ale-like fruity esters should not be perceived.",22,28,4.8,5.4,12,16,1.046,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:36:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
