id,name,nameDisplay,description,abv,ibu,glasswareId,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,glass/id,glass/name,glass/createDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,srmId,srm/id,srm/name,srm/hex,servingTemperature,servingTemperatureDisplay,originalGravity,style/ogMax,foodPairings
KGBlvK,100 Barrel Series #4 Barleywine,100 Barrel Series #4 Barleywine,"Our Barleywine pours a reddish, golden hue with a slight carbonation. The piney, citric aroma and flavors coupled with the sweet malt character reflect the generous amounts of ingredients used to brew this beer. The warming finish of this rich, full-bodied ale make it the perfect cold weather companion.",10.3,80,,2,34,N,,,,verified,Verified,2012-03-21 01:58:14,2012-03-22 13:05:53,,,,2,Limited,Limited availability.,34,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,,,,,,
lOgUYP,100 Barrel Series #40 Black IPA,100 Barrel Series #40 Black IPA,We have enjoyed brewing and drinking beers brewed in the IPA style for a long time. Our flagship Harpoon IPA and our Leviathan Imperial IPA are two of our favorites. We thought it was about time to take a crack at the Black IPA style.,7,67,5,2,125,N,,,,verified,Verified,2012-03-21 01:51:31,2014-10-30 18:54:18,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,,,
NiPIhq,100 Barrel Series #41 Catamount Maple Wheat,100 Barrel Series #41 Catamount Maple Wheat,"Catamount Maple Wheat is a full-bodied, smooth wheat ale made with genuine Vermont maple syrup. The original version of this beer was brewed in the winter of 2009 by Harpoon Vermont sales representative John Baker.",6.8,21,,2,112,N,https://s3.amazonaws.com/brewerydbapi/beer/NiPIhq/upload_rCaaNB-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/NiPIhq/upload_rCaaNB-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/NiPIhq/upload_rCaaNB-large.png,verified,Verified,2012-03-21 01:52:05,2015-12-16 16:10:46,,,,2,Limited,Limited availability.,112,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Light American Wheat Ale or Lager with Yeast,Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent wheat malt, and hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. Fruity-estery aroma and flavor are typical but at low levels however, phenolic, clove-like characteristics should not be perceived. Color is usually straw to light amber, and the body should be light to medium in character. Diacetyl should not be perceived. Because this style is served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is also acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops. These beers are typically served with the yeast in the bottle, and are cloudy when served.",10,35,3.5,5.5,4,10,1.036,1.006,1.018,2012-03-21 20:06:46,2015-04-07 15:42:48,,,,,,,,,
vcVFBM,100 Barrel Series #45 - Directors' Cut,100 Barrel Series #45 - Directors' Cut,"With a malty sweetness, subtile hops, and a hint of smoke, this beer blends tow distinct styles, pale ale and stout to make one phenomenal beer.",6.25,38,,2,44,N,https://s3.amazonaws.com/brewerydbapi/beer/vcVFBM/upload_8DGHpn-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/vcVFBM/upload_8DGHpn-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/vcVFBM/upload_8DGHpn-large.png,verified,Verified,2012-11-16 14:59:15,2015-12-16 20:54:09,,,,2,Limited,Limited availability.,44,3,3,North American Origin Ales,2012-03-21 20:06:45,Specialty Stouts,Stout,"See British Origin American-Style Imperial Porter Imperial porters are very dark brown to black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness should be in harmony with medium-low to medium hop bitterness. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment malt derived sweetness and hop character. Hop flavor and aroma may vary from being low to medium-high. Diacetyl (butterscotch) levels should be absent.",35,50,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:58,,,,,,,,,
hwDQYE,100 Barrel Series #46 - Hoppy Belgian Blonde Ale,100 Barrel Series #46 - Hoppy Belgian Blonde Ale,,6.5,53,8,2,61,N,https://s3.amazonaws.com/brewerydbapi/beer/hwDQYE/upload_a74vxj-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/hwDQYE/upload_a74vxj-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/hwDQYE/upload_a74vxj-large.png,verified,Verified,2013-03-03 20:53:00,2015-12-16 23:37:38,8,Tulip,2012-01-03 02:41:33,2,Limited,Limited availability.,61,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Blonde Ale,Belgian Blonde,"Belgian-style blond ales are characterized by low yet evident hop bitterness, flavor, and sometimes aroma. Light to medium body and low malt aroma with a sweet, spiced and a low to medium fruity-ester character orchestrated in flavor and aroma. Sugar may be used to lighten perceived body. They are blonde to golden in color. Noble-type hops are commonly used. Low levels of phenolic spiciness from yeast byproducts may be perceived. Diacetyl should not be perceived. Acidic character should not be present. Chill haze is allowable at cold temperatures.",15,30,6,7.8,4,7,1.054,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:01,,,,,,,1.061,,
FYezHA,100 Barrel Series #49 - Brown IPA,100 Barrel Series #49 - Brown IPA,"I wanted to take our ongoing exploration of IPAs in a completely new direction, layering classic American hops over the malty base of a rich brown ale. Sweet, roasted notes of chocolate and honey malts combine with the pine and citrus of Chinook, Simcoe and Amarillo hops in this hearty and welcome addition to our family of IPAs.",5.7,60,,2,30,N,,,,verified,Verified,2014-04-05 19:56:36,2015-07-10 16:42:46,,,,2,Limited,Limited availability.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,1.06,,
wZua4l,100 Barrel Series #5 Alt,100 Barrel Series #5 Alt,"This deep copper colored ale blends a spectrum of malts to build a medium bodied, full flavored beer. The German hops provide a subtle aroma and a clean, bitter finish. The Harpoon 100 Barrel Series Alt is well-balanced, smooth, and refreshing.",5.25,37,,2,55,N,,,,verified,Verified,2012-03-21 01:58:51,2012-03-22 13:05:53,,,,2,Limited,Limited availability.,55,4,4,German Origin Ales,2012-03-21 20:06:46,German-Style Altbier,Altbier,"German-Style Altbiers are copper to dark brown ales, originally from the Düsseldorf area. No chill haze should be perceived. A variety of malts including wheat may be used to produce medium-low to medium malt aroma. Fruityester aroma can be low. No diacetyl aroma should be perceived. Hop aroma is low to medium. A variety of malts including wheat may be used to produce medium-low to medium level malty flavor. Hop flavor is low to medium. Hop bitterness is medium to very high (although the 25 to 35 IBU range is more normal for the majority of Altbiers from Düsseldorf). Fruity-ester flavors can be low. No diacetyl should be perceived. The overall impression is clean, crisp, and flavorful often with a dry finish. Body is medium.",25,52,4.3,5.5,11,19,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 17:08:31,,,,,,,,,
glgkX4,100 Barrel Series #50 - Citra Victorious,100 Barrel Series #50 - Citra Victorious,,5.8,45,,2,25,N,https://s3.amazonaws.com/brewerydbapi/beer/glgkX4/upload_iSuaDG-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/glgkX4/upload_iSuaDG-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/glgkX4/upload_iSuaDG-large.png,verified,Verified,2014-03-21 12:22:20,2015-12-17 11:35:55,,,,2,Limited,Limited availability.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,1.057,,
b1l5Ia,100 Barrel Series #52 - Tuscan Pool Party,100 Barrel Series #52 - Tuscan Pool Party,,7.6,23,,2,132,N,,,,verified,Verified,2015-01-06 21:19:43,2015-01-27 18:17:41,,,,2,Limited,Limited availability.,132,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Beer,BBL Aged,"A wood- or barrel-aged beer is any lager, ale or hybrid beer, either a traditional style or a unique experimental beer that has been aged for a period of time in a wooden barrel or in contact with wood. This beer is aged with the intention of imparting the particularly unique character of the wood and/or what has previously been in the barrel. New wood character can be characterized as a complex blend of vanillin and/or other unique wood character, but wood aged is not necessarily synonymous with imparting wood-flavors. Used sherry, rum, bourbon, scotch, port, wine and other barrels are often used, imparting complexity and uniqueness to beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of new beer with wood and/or barrel flavors. Beers in this style may or may not have Brettanomyces character. Brewers when entering this category should specify type of barrel and/or wood used and any other special treatment or ingredients used. Competition managers may create style subcategories to differentiate between high alcohol and low alcohol beers and very dark and lighter colored beer as well as for fruit beers and non-fruit beers. Competitions may develop guidelines requesting brewers to specify what kind of wood (new or used oak, other wood varieties) and/or barrel (whiskey, port, sherry, wine, etc.) was used in the process. The brewer may be asked to explain the special nature (wood used, base beer style(s) and achieved character) of the beer.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:27,,,,,,,,,
LARZOC,100 Barrel Series #53: Braggot Rights,100 Barrel Series #53: Braggot Rights,,8,40,8,2,147,N,,,,verified,Verified,2015-04-26 18:34:17,2015-04-27 15:10:40,8,Tulip,2012-01-03 02:41:33,2,Limited,Limited availability.,147,12,12,"Mead, Cider, & Perry",2012-03-21 20:06:46,Braggot,Braggot,"A harmonious blend of mead and beer, with the distinctive characteristics of both. A wide range of results are possible, depending on the base style of beer, variety of honey and overall sweetness and strength. Beer flavors tend to somewhat mask typical honey flavors found in other meads.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:48:30,,,,,,,,,
pZSYFY,100 Barrel Series #54 Nordic Saison,100 Barrel Series #54 Nordic Saison,"When Anders Kissmeyer of Kissmeyer Beer & Brewing asked us to join his Saison experiment – brewing the same recipe at select craft breweries – Harpoon’s Jaime Schier jumped at the chance. Together with longtime friend Will Meyers of Cambridge Brewing Company, the three fashioned the Harpoon 100 Barrel Series #54 – Nordic Saison.   

This light-bodied golden Saison has a distinctly floral, herbal character, a refreshing tartness, and a sublimely dry finish.",6.1,30,8,,72,N,https://s3.amazonaws.com/brewerydbapi/beer/pZSYFY/upload_bcTeLI-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/pZSYFY/upload_bcTeLI-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/pZSYFY/upload_bcTeLI-large.png,verified,Verified,2015-08-20 15:46:18,2015-12-18 04:24:57,8,Tulip,2012-01-03 02:41:33,,,,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,4,4,4,FFBF42,cool,Cool - (8-12C/45-54F),1.052,,
W1cLOQ,100 Barrel Series #56 - Kettle Cup Thunder Foam,100 Barrel Series #56 - Kettle Cup Thunder Foam,,6.8,40,,2,158,N,,,,verified,Verified,2016-02-14 18:17:23,2016-02-16 18:10:15,,,,2,Limited,Limited availability.,158,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Porter,American Imperial Porter,"American-style imperial porters are black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness. Hop bitterness is perceived at a medium-low to medium level. Hop flavor and aroma may vary from being low to medium-high. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment hop character and malt derived sweetness. Diacetyl (butterscotch) levels should be absent.",35,50,5.5,9.5,40,40,1.08,1.02,1.03,2013-08-10 12:42:51,2015-04-07 15:49:32,,,,,,,,1.1,
5ck9cS,100 Barrel Series #6 Scotch Style Ale,100 Barrel Series #6 Scotch Style Ale,"Scotland is known for its wonderfully malty beers. This beer is in the Wee Heavy tradition with a firm body, creamy head and dark tawny color. It has a rich malty, caramel, toasted flavor, a slight alcoholic warming with a clean well balanced hop bitterness.",6.9,34,,2,14,N,,,,verified,Verified,2012-03-21 01:56:49,2012-03-22 13:05:53,,,,2,Limited,Limited availability.,14,1,1,British Origin Ales,2012-03-21 20:06:45,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,2012-03-21 20:06:45,2015-04-07 15:21:05,,,,,,,,,
YtdOEC,100 Barrel Series #7 Union Street Revival Ale,100 Barrel Series #7 Union Street Revival Ale,This old brewery favorite is rich in malt flavor with a hoppy aroma. Union Street is unfiltered and has a deep chestnut color. The full body and crisp bitterness make a perfect beer for autumn.,6.6,36,,2,125,N,,,,verified,Verified,2012-03-21 01:59:24,2012-03-22 13:05:53,,,,2,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,,,
PqnogV,100 Barrel Series #8 Smoked Porter,100 Barrel Series #8 Smoked Porter,The Harpoon 100 Barrel Series Smoked Porter is brewed with German beechwood rauch malt and a blend of eight other malts. This porter style ale is full-bodied and malty. The smoked malt imparts a complex but pleasant aroma and flavor with a balanced and subtle hop finish.,5.7,37,,2,19,N,,,,verified,Verified,2012-03-21 02:01:20,2012-03-22 13:05:53,,,,2,Limited,Limited availability.,19,1,1,British Origin Ales,2012-03-21 20:06:45,Robust Porter,Robust Porter,"Robust porters are black in color and have a roast malt flavor, often reminiscent of cocoa, but no roast barley flavor. These porters have a sharp bitterness of black malt without a highly burnt/charcoal flavor. Caramel and other malt sweetness should be present and in harmony with other distinguishing porter characters. Robust porters range from medium to full in body and have a malty sweetness. Hop bitterness is medium to high, with hop aroma and flavor ranging from negligible to medium. Diacetyl is acceptable at very low levels. Fruity esters should be evident, balanced with roast malt and hop bitterness.",25,40,5,6.5,30,30,1.045,1.008,1.016,2012-03-21 20:06:45,2015-04-07 15:21:45,,,,,,,,,
2AWcpw,100 Barrel Series #9 Maibock,100 Barrel Series #9 Maibock,"The big, malty scent of the Harpoon 100 Barrel Series Maibock is present just above the floral hop nose.  The combination of five malts creates a full, smooth texture that yields a clean, dry bitterness.  This is a full-bodied beer with a pronounced hop and malt character.",5.8,40,,2,89,N,,,,verified,Verified,2012-03-21 02:01:47,2012-03-22 13:05:53,,,,2,Limited,Limited availability.,89,7,7,European-germanic Lager,2012-03-21 20:06:46,German-Style Heller Bock/Maibock,Maibock,"The German word helle means light colored, and as such, a heller Bock is light straw to deep golden in color. Maibocks are also light-colored bocks. The sweet malty character should come through in the aroma and flavor. A lightly toasted and/or bready malt character is often evident. Roast or heavy toast/caramel malt character should be absent. Body is medium to full. Hop bitterness should be low, while noble-type hop aroma and flavor may be at low to medium levels. Bitterness increases with gravity. Fruity esters may be perceived at low levels. Diacetyl should be absent. Chill haze should not be perceived.",20,38,6,8,4,10,1.066,1.012,1.02,2012-03-21 20:06:46,2015-04-07 15:39:04,,,,,,,,,
rrAghW,100 Galaxies India Pale Ale,100 Galaxies India Pale Ale,"Vibrant hop bouquet with elements of floral, tropical and citrus aromas. Lush mouthfeel with big resinous flavors and a bold finish. Brewed with Weyermann Pale and Pilsner malt, Cascade, Centennial, Galaxy & El Dorado hops, and our proprietary German yeast strain.",6.8,60,,,30,N,,,,verified,Verified,2015-03-20 16:57:04,2015-03-20 16:57:04,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,1.066,,
jAVFqc,100 STEPS STOUT,100 STEPS STOUT,"Tasting Notes:
Nose: Notes of caramel, dark fruit, and smoke
Palate: This beer starts off with a dry roasted taste, akin to coffee or dark chocolate. It then follows with a hint of malt sweetness immediately after. This then yields to more dark chocolate notes and slight herbal finish from the hops.",5.2,20,,1,42,N,,,,verified,Verified,2016-05-03 19:04:39,2016-05-03 19:04:39,,,,1,Year Round,Available year round as a staple beer.,42,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,41,41,Over 40,000000,,,,,
mcGHZ2,100% Lacto Berliner Weisse,100% Lacto Berliner Weisse,"Brewed solely with Lactobacillus and exclusive to the Rare Beer Fest, this refreshing wheat beer has notes of pear, apple, and white wine fruitiness that finishes dry and mildly tart.",,,,,46,N,,,,verified,Verified,2015-04-27 16:06:55,2015-04-27 16:06:55,,,,,,,46,4,4,German Origin Ales,2012-03-21 20:06:46,Berliner-Style Weisse (Wheat),Berlinerweisse,"This is very pale in color and the lightest of all the German wheat beers. The unique combination of yeast and lactic acid bacteria fermentation yields a beer that is acidic, highly attenuated, and very light bodied. The carbonation of a Berliner Weisse is high, and hop rates are very low. Clarity may be hazy or cloudy from yeast or chill haze. Hop character should not be perceived. Fruity esters will be evident. No diacetyl should be perceived.",3,6,2.8,3.4,2,4,1.028,1.004,1.006,2012-03-21 20:06:46,2015-04-07 15:29:14,,,,,,,,,
gS5w52,100% New York Farmhouse Ale,100% New York Farmhouse Ale,,5.8,34,,,72,N,,,,verified,Verified,2015-09-01 01:31:06,2015-09-01 16:39:08,,,,,,,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,,,,,,,,,
eCLW18,100% Organic Ale,100% Organic Ale,,,,,,,Y,https://s3.amazonaws.com/brewerydbapi/beer/eCLW18/upload_sqpaWo-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/eCLW18/upload_sqpaWo-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/eCLW18/upload_sqpaWo-large.png,verified,Verified,2013-01-05 19:05:33,2013-01-06 10:00:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lZBw4B,1000 Barley Wine,1000 Barley Wine,,9.2,,,,34,N,,,,verified,Verified,2012-01-03 02:42:36,2015-05-13 15:13:57,,,,,,,34,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,,,,,,
LKyIaa,1000 IBU,1000 IBU,,12.2,1000,8,2,31,N,https://s3.amazonaws.com/brewerydbapi/beer/LKyIaa/upload_UF44Eu-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/LKyIaa/upload_UF44Eu-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/LKyIaa/upload_UF44Eu-large.png,verified,Verified,2013-02-08 12:04:20,2015-12-16 22:42:49,8,Tulip,2012-01-03 02:41:33,2,Limited,Limited availability.,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,
